rank,waku,umaban,horse_name,horse_id,sex_age,kinryo,jockey,jockey_id,time,diff,passing,last_3f,odds,popularity,horse_weight,trainer,trainer_id,race_id,date,place,surface,distance,track_condition
1,7,14,サンディブロンド,2021105821,牝3,55.0,戸崎圭太,5386,1:12.6,,2-2,38.5,4.2,3.0,466(-12),[東]田中博康,1162,202406010101,2024-01-06,中山,ダート,1200.0,良
2,4,7,マイネルディレクト,2021106805,牡3,57.0,丹内祐次,1091,1:12.8,1,5-4,38.1,8.4,5.0,496(+6),[東]高橋裕,412,202406010101,2024-01-06,中山,ダート,1200.0,良
3,8,16,セイウンチドリ,2021102685,牝3,55.0,三浦皇成,1122,1:13.2,2.1/2,5-4,38.6,15.3,6.0,446(-6),[東]村田一誠,1190,202406010101,2024-01-06,中山,ダート,1200.0,良
4,2,4,グリントリッター,2021100328,セ3,57.0,石川裕紀,1150,1:13.2,クビ,4-4,38.7,3.9,2.0,420(+2),[東]深山雅史,1174,202406010101,2024-01-06,中山,ダート,1200.0,良
5,6,12,マニーブルース,2021102752,牡3,57.0,吉田豊,733,1:13.3,1,8-7,38.1,50.9,9.0,458(+4),[東]小手川準,1171,202406010101,2024-01-06,中山,ダート,1200.0,良
6,8,15,ニシノリピート,2021100402,牝3,55.0,田辺裕信,1075,1:13.7,2.1/2,8-8,38.5,42.5,8.0,462(0),[東]小島茂之,1068,202406010101,2024-01-06,中山,ダート,1200.0,良
7,1,2,ミッキードラマー,2021104782,牡3,57.0,菊沢一樹,1161,1:13.7,クビ,1-1,39.8,7.8,4.0,528(+4),[東]菊沢隆徳,1115,202406010101,2024-01-06,中山,ダート,1200.0,良
8,6,11,イデアガウディ,2021103105,牡3,57.0,横山武史,1170,1:13.9,3/4,2-2,39.9,3.3,1.0,484(+6),[東]中野栄治,1010,202406010101,2024-01-06,中山,ダート,1200.0,良
9,5,9,サナダ,2021101169,牡3,56.0,佐々木大,1197,1:14.1,1.1/2,5-8,39.4,15.8,7.0,486(0),[東]杉浦宏昭,1008,202406010101,2024-01-06,中山,ダート,1200.0,良
10,7,13,クインタレッリ,2021102792,牡3,56.0,永野猛蔵,1188,1:14.6,3,12-12,38.0,125.7,12.0,502(+10),[東]尾形和幸,1141,202406010101,2024-01-06,中山,ダート,1200.0,良
11,5,10,ダイシンペルル,2021106538,牝3,55.0,大野拓弥,1096,1:14.8,1.1/4,14-14,37.9,269.0,14.0,468(+6),[東]小笠倫弘,1076,202406010101,2024-01-06,中山,ダート,1200.0,良
12,4,8,スターリーアイド,2021103974,牡3,53.0,小林美駒,1206,1:14.9,アタマ,11-11,38.8,84.6,10.0,440(+8),[東]鈴木伸尋,1026,202406010101,2024-01-06,中山,ダート,1200.0,良
13,3,5,ラスジャン,2021101587,牡3,57.0,内田博幸,422,1:15.3,2.1/2,12-12,38.7,107.1,11.0,460(-4),[東]上原博之,423,202406010101,2024-01-06,中山,ダート,1200.0,良
14,2,3,エテルノアキーロ,2021106007,牡3,57.0,黛弘人,1109,1:16.2,5,15-15,39.0,422.9,16.0,456(-4),[東]中野栄治,1010,202406010101,2024-01-06,中山,ダート,1200.0,良
15,3,6,ツクバアプローズ,2021100211,牝3,55.0,柴田大知,1009,1:16.2,クビ,10-10,40.9,235.8,13.0,476(+8),[東]和田雄二,1143,202406010101,2024-01-06,中山,ダート,1200.0,良
16,1,1,コーストガード,2021103189,牡3,54.0,佐藤翔馬,1207,1:16.8,3.1/2,15-15,39.6,421.5,15.0,470(+2),[東]青木孝文,1156,202406010101,2024-01-06,中山,ダート,1200.0,良
1,6,12,ファイントパーズ,2021107212,牝3,51.0,小林美駒,1206,1:56.0,,1-1-1-1,39.6,7.3,3.0,460(-10),[東]鈴木伸尋,1026,202406010102,2024-01-06,中山,ダート,1800.0,良
2,4,7,ゴールドアローン,2021106874,牝3,55.0,野中悠太,1158,1:56.4,2,2-2-2-2,39.8,43.3,8.0,456(-2),[東]青木孝文,1156,202406010102,2024-01-06,中山,ダート,1800.0,良
3,6,11,カフェアローロ,2021100469,牝3,54.0,永野猛蔵,1188,1:56.4,アタマ,9-8-5-4,39.3,14.7,5.0,494(+4),[東]古賀慎明,1079,202406010102,2024-01-06,中山,ダート,1800.0,良
4,7,14,カピリナ,2021104073,牝3,55.0,戸崎圭太,5386,1:56.5,1/2,2-3-3-2,39.8,3.0,2.0,468(-8),[東]田島俊明,1112,202406010102,2024-01-06,中山,ダート,1800.0,良
5,3,6,セージグリーン,2021104850,牝3,54.0,佐々木大,1197,1:56.7,1.1/4,6-6-5-6,39.6,2.1,1.0,472(-6),[東]菊川正達,1052,202406010102,2024-01-06,中山,ダート,1800.0,良
6,3,5,ビーナスライズ,2021102342,牝3,54.0,原優介,1184,1:56.9,1.1/4,10-10-9-7,39.5,10.8,4.0,480(-4),[東]小手川準,1171,202406010102,2024-01-06,中山,ダート,1800.0,良
7,5,9,ラブショック,2021100627,牝3,52.0,水沼元輝,1201,1:57.1,1,14-14-14-8,39.0,216.8,14.0,470(+8),[東]加藤和宏,1077,202406010102,2024-01-06,中山,ダート,1800.0,良
8,4,8,ファーマシャイン,2021101591,牝3,52.0,小林勝太,1205,1:58.9,大,12-13-13-8,40.9,505.5,16.0,440(-2),[東]武井亮,1147,202406010102,2024-01-06,中山,ダート,1800.0,良
9,8,15,マツリボタン,2021103758,牝3,53.0,小林凌大,1177,1:59.3,2.1/2,14-14-11-11,41.6,125.9,11.0,450(-2),[東]伊藤圭三,1023,202406010102,2024-01-06,中山,ダート,1800.0,良
10,5,10,アートハラン,2021103174,牝3,55.0,キング,5643,1:59.6,1.3/4,8-8-9-11,42.2,102.7,10.0,442(+4),[東]大竹正博,1102,202406010102,2024-01-06,中山,ダート,1800.0,良
11,1,1,マーゴットエクラ,2021102925,牝3,55.0,丸田恭介,1117,1:59.7,クビ,5-5-7-8,42.5,152.8,12.0,458(-2),[東]伊坂重信,1177,202406010102,2024-01-06,中山,ダート,1800.0,良
12,2,4,クインズスピカ,2021106559,牝3,55.0,江田照男,689,2:00.2,3,2-3-3-4,43.5,18.1,6.0,466(+12),[東]村田一誠,1190,202406010102,2024-01-06,中山,ダート,1800.0,良
13,8,16,ウインアリス,2021106224,牝3,55.0,キングス,5660,2:00.8,3.1/2,12-11-12-14,42.9,28.2,7.0,460(+8),[東]上原博之,423,202406010102,2024-01-06,中山,ダート,1800.0,良
14,2,3,ミルフルール,2021100614,牝3,55.0,伊藤工真,1119,2:00.8,ハナ,16-16-15-15,41.1,361.9,15.0,482(-4),[東]伊坂重信,1177,202406010102,2024-01-06,中山,ダート,1800.0,良
15,7,13,オーシンダイヤ,2021102394,牝3,55.0,津村明秀,1092,2:01.7,5,6-6-7-13,44.5,177.4,13.0,448(-6),[東]鈴木慎太,1179,202406010102,2024-01-06,中山,ダート,1800.0,良
16,1,2,ニシノフルール,2021104837,牝3,55.0,大野拓弥,1096,2:03.2,9,10-11-15-16,43.6,49.5,9.0,460(0),[東]杉浦宏昭,1008,202406010102,2024-01-06,中山,ダート,1800.0,良
1,8,15,フェデラルスタイル,2021105032,牝3,55.0,津村明秀,1092,1:13.5,,5-5,38.2,11.2,5.0,388(0),[東]鈴木伸尋,1026,202406010103,2024-01-06,中山,ダート,1200.0,良
2,6,12,マンウォル,2021103744,牝3,55.0,菊沢一樹,1161,1:13.5,ハナ,7-8,37.8,7.7,4.0,434(0),[東]菊沢隆徳,1115,202406010103,2024-01-06,中山,ダート,1200.0,良
3,3,5,ミューシグ,2021103326,牝3,55.0,黛弘人,1109,1:13.9,2,10-10,37.4,121.5,14.0,472(0),[東]南田美知,437,202406010103,2024-01-06,中山,ダート,1200.0,良
4,2,4,ジェットブレイク,2021100637,牡3,57.0,内田博幸,422,1:13.9,クビ,3-3,38.9,16.3,6.0,488(0),[東]斎藤誠,1086,202406010103,2024-01-06,中山,ダート,1200.0,良
5,4,8,ヒカルエリザベス,2021104487,牝3,55.0,的場勇人,1108,1:14.2,1.3/4,1-1,39.5,66.2,12.0,478(0),[東]的場均,1063,202406010103,2024-01-06,中山,ダート,1200.0,良
6,5,10,マンマミーア,2021103317,牡3,57.0,柴田大知,1009,1:14.5,1.1/2,3-3,39.5,4.9,3.0,466(0),[東]深山雅史,1174,202406010103,2024-01-06,中山,ダート,1200.0,良
7,6,11,ニシノデスティーノ,2021106995,セ3,55.0,小林脩斗,1183,1:14.6,1/2,6-8,39.1,38.8,9.0,468(0),[東]武藤善則,1064,202406010103,2024-01-06,中山,ダート,1200.0,良
