horse_id,sire,sire_id,dam,dam_id,damsire,damsire_id
2012100683,マツリダゴッホ,2003104570,コスモクラッベ,2006104855,マイネルラヴ,1995108558
2013101904,ステイゴールド,1994108729,コスモスプラッシュ,2005105507,メジロブライト,1994108411
2014100566,ヴィクトワールピサ,2007102923,ヤマニンプロローグ,2004100645,フレンチデピュティ French Deputy(米),000a00013a
2014101586,キングカメハメハ,2001103460,クリスタルコースト,2002100943,サンデーサイレンス Sunday Silence(米),000a00033a
2014102562,エンパイアメーカー Empire Maker(米),000a010542,マイグリーン,1998103398,ダンシングブレーヴ Dancing Brave(米),000a0000cc
2014102625,アグネスデジタル,1997110025,ダイメイダーク,2007104165,ダンスインザダーク,1993109188
2014103040,ルーラーシップ,2007103143,エイシンサンサン,1992105000,キャロルハウス Carroll House(愛),1985109001
2014103514,メイショウボーラー,2001100650,パワフルリーフ,2004102247,ウイニングチケット,1990102314
2014103896,マンハッタンカフェ,1998101554,エガオヨシ,2006100450,タイキシャトル,1994109686
2014103963,クロフネ,1998110135,クイーンマルサ,2006106732,ステイゴールド,1994108729
2014104716,フリオーソ,2004106867,シックスポケット,2003105652,カリズマティック Charismatic(米),000a00fa33
2014106286,キングヘイロー,1995104427,キーラッキー,2004101061,ティンバーカントリー Timber Country(米),000a00035e
2014109137,ロージズインメイ Roses in May(米),000a010a10,フォンティーン,2003102862,エンドスウィープ End Sweep(米),000a00010f
2015100274,キングヘイロー,1995104427,ベストフューチャー,2007104417,ロージズインメイ Roses in May(米),000a010a10
2015100533,ドリームジャーニー,2004102753,ドナフュージョン,2005101764,シンボリクリスエス,1999110099
2015100744,ステイゴールド,1994108729,マイネテレジア,2007104916,ロージズインメイ Roses in May(米),000a010a10
2015100822,ベーカバド Behkabad(仏),000a011dc0,ハロードリーム,2004106632,ブライアンズタイム Brian's Time(米),000a000082
2015101447,エイシンフラッシュ,2007102951,ホーネットピアス,1994108660,サンデーサイレンス Sunday Silence(米),000a00033a
2015101654,ステイゴールド,1994108729,ブリクセン Blixen(米),000a0116c5,Gone West,000a001be1
2015102127,モンテロッソ Monterosso(英),000a011b05,スズカグレイス,2002107012,サンデーサイレンス Sunday Silence(米),000a00033a
2015103109,サウスヴィグラス,1996110138,メイショウヒミコ,2003105798,Elusive Quality,000a00231f
2015103217,オルフェーヴル,2008102636,ティックルピンク,2006102841,フレンチデピュティ French Deputy(米),000a00013a
2015103340,ダイワメジャー,2001103114,アルペンローズ Alpine Rose(米),000a00fecb,Kris S.,000a0016f2
2015103357,ヴィクトワールピサ,2007102923,ダンシングブルーム,1998103160,コマンダーインチーフ Commander in Chief(英),000a0000b0
2015103616,メイショウボーラー,2001100650,マンハッタンミート,2009101088,マンハッタンカフェ,1998101554
2015103867,プリサイスエンド Precise End(米),000a00fe9b,ヴァップ,2009100845,ストーミングホーム Storming Home(英),1998190003
2015104186,ディープインパクト,2002100816,ソベラニア Soberania(独),000a011abe,Monsun,000a010db6
2015104364,ドリームジャーニー,2004102753,ジャジャマーチャン,2008103040,アドマイヤコジーン,1996106512
2015104367,シンボリクリスエス,1999110099,ジャドール,2004103128,フジキセキ,1992109618
2015104512,ステイゴールド,1994108729,ブルーミングアレー,2007102912,シンボリクリスエス,1999110099
2015104582,ハービンジャー Harbinger(英),000a011996,モルトフェリーチェ,2009106047,ディープインパクト,2002100816
2015104589,ワークフォース Workforce(英),000a011a7f,ラカ,2010103816,キングカメハメハ,2001103460
2015104675,ローズキングダム,2007103404,アンティフォナ,2008110005,Songandaprayer,000a01069b
2015104699,Dansili,000a010a5f,ヴィアメディチ,000a012fc1,Medicean,000a010a19
2015104707,ハービンジャー Harbinger(英),000a011996,エイグレット,2000101618,サンデーサイレンス Sunday Silence(米),000a00033a
2015104713,ハーツクライ,2001103038,エリドゥバビロン,2007110107,Bernstein,000a010bae
2015104714,キングカメハメハ,2001103460,エリモピクシー,1998107103,ダンシングブレーヴ Dancing Brave(米),000a0000cc
2015104887,ルーラーシップ,2007103143,テキサスルビー,2008103194,スペシャルウィーク,1995103211
2015105032,キングカメハメハ,2001103460,ムードインディゴ,2005102182,ダンスインザダーク,1993109188
2015105033,オウケンブルースリ,2005102548,ムーンフェイズ,2001103298,エリシオ Helissio(仏),1993190001
2015105276,ノヴェリスト Novellist(愛),000a012230,シセイカグヤ,2006106132,ネオユニヴァース,2000101426
2015105399,アイルハヴアナザー I'll Have Another(米),000a011ed3,ウインディーヒル,2008100123,マンハッタンカフェ,1998101554
2015105440,ステイゴールド,1994108729,ツーデイズノーチス,2006101393,ヘクタープロテクター Hector Protector(米),000a000d6b
2015105573,ステイゴールド,1994108729,ワイルドゲッツ,2009103470,ワイルドラッシュ Wild Rush(米),000a0003a1
2015105583,ディープインパクト,2002100816,アドマイヤアモーレ,2005100317,Fusaichi Pegasus,000a0022cf
2015105850,サクラオリオン,2002104686,サクラジュレップ,2010103415,サクラプレジデント,2000102261
2015105868,ゴールドアリュール,1999106689,シロガネーゼカフェ,2000110206,Gulch,000a001cd6
2015110032,Stormy Atlantic,000a010b85,Amelia,000a012d52,Dixieland Band,000a0017b2
2015110066,Jimmy Creed (米),000a012a62,Chick Flick,000a013737,Tapit (米),000a011248
2015110073,Violence,000a013951,Ambitious Journey,000a013966,Bernardini (米),000a0111fe
2016100126,ドリームジャーニー,2004102753,ヴードゥーレディ,000a010e14,デインヒル Danehill(米),000a0000d1
2016100158,キンシャサノキセキ,2003110212,ヒシディーバ,2005110086,Fusaichi Pegasus,000a0022cf
2016100201,ベルシャザール,2008103004,ツルハチクィーン,1998100262,ラムタラ Lammtarra(米),000a0001d4
2016100272,ルーラーシップ,2007103143,アンフィルージュ,2007104401,アグネスタキオン,1998101516
2016100297,キャプテントゥーレ,2005102216,セトウチダイヤ,2006100938,タイキシャトル,1994109686
2016100349,パイロ Pyro(米),000a01176a,アルヴェナ Alvena(加),000a011ab9,Seeking the Gold,000a001bea
2016100484,エスポワールシチー,2005102837,キーレター,2003104182,リンドシェーバー,1988107894
2016100507,グランプリボス,2008103388,マイラヴユアラヴ,2003102215,Josr Algarhoud,000a00faf7
2016100550,ヴィクトワールピサ,2007102923,タイムフェアレディ,1998100647,メジロマックイーン,1987107235
2016100598,メイショウサムソン,2003102205,クロンヌドール,2009105896,アグネスタキオン,1998101516
